時間戳記,電燈狀態,溫度,濕度
2025-12-03 20:45:14,關,25.44,56.45
2025-12-03 20:50:14,開,27.33,63.67
2025-12-03 20:55:14,開,28.63,63.96
2025-12-03 21:00:14,開,29.04,64.5
2025-12-03 21:05:14,開,26.43,63.9
2025-12-03 21:10:14,關,28.16,64.47
2025-12-03 21:15:14,開,30.32,65.42
2025-12-03 21:20:14,開,29.8,64.47
2025-12-03 21:25:14,開,31.45,59.95
2025-12-03 21:30:14,關,31.29,59.09
2025-12-03 21:35:14,開,25.68,63.9
2025-12-03 21:40:14,開,25.57,66.18
2025-12-03 21:45:14,關,28.98,65.67
2025-12-03 21:50:14,關,27.66,63.02
2025-12-03 21:55:14,關,25.24,61.29
2025-12-03 22:00:14,開,25.31,68.46
2025-12-03 22:05:14,開,25.59,63.05
2025-12-03 22:10:14,關,27.45,56.96
2025-12-03 22:15:14,開,28.58,58.17
2025-12-03 22:20:14,開,28.61,59.27
2025-12-03 22:25:14,開,25.66,60.83
2025-12-03 22:30:14,開,27.22,60.17
2025-12-03 22:35:14,關,27.4,59.94
2025-12-03 22:40:14,開,23.59,67.7
2025-12-03 22:45:14,開,25.17,56.25
2025-12-03 22:50:14,關,30.02,65.21
2025-12-03 22:55:14,開,27.89,59.01
2025-12-03 23:00:14,開,27.76,66.86
2025-12-03 23:05:14,關,26.31,64.63
2025-12-03 23:10:14,開,29.61,64.68
2025-12-03 23:15:14,開,23.13,62.41
2025-12-03 23:20:14,開,27.0,70.0
2025-12-03 23:25:14,開,24.71,60.23
2025-12-03 23:30:14,關,27.74,59.7
2025-12-03 23:35:14,開,24.17,59.75
2025-12-03 23:40:14,開,29.35,61.0
2025-12-03 23:45:14,關,26.91,67.77
2025-12-03 23:50:14,開,26.41,61.41
2025-12-03 23:55:14,開,28.67,67.12
2025-12-04 00:00:14,開,31.55,66.7
2025-12-04 00:05:14,開,24.6,63.83
2025-12-04 00:10:14,開,27.25,63.26
2025-12-04 00:15:14,開,26.77,62.4
2025-12-04 00:20:14,開,24.49,59.31
2025-12-04 00:25:14,關,29.29,60.0
2025-12-04 00:30:14,開,29.81,68.15
2025-12-04 00:35:14,開,26.18,60.06
2025-12-04 00:40:14,開,31.06,63.9
2025-12-04 00:45:14,開,26.51,60.18
2025-12-04 00:50:14,開,31.52,58.37
